5prime	3prime	strand	count	sgRNA_ref
62	28102	True	420239	non-canonical
62	28102	False	78134	non-canonical
61	25255	True	27591	non-canonical
65	26912	True	9607	non-canonical
57	29328	True	13	non-canonical
60	26342	True	38440	non-canonical
64	28960	True	114	non-canonical
62	27262	True	2517	non-canonical
62	28098	True	371	non-canonical
63	28104	True	87	non-canonical
61	25255	False	2774	non-canonical
63	26797	True	88	non-canonical
61	21481	True	15042	non-canonical
60	26342	False	1779	non-canonical
60	28884	True	20	non-canonical
64	26350	True	732	non-canonical
61	28101	False	250	non-canonical
65	26108	True	6842	non-canonical
63	27264	True	33329	non-canonical
60	27767	True	7969	non-canonical
63	29227	False	7	non-canonical
60	27767	False	2281	non-canonical
63	29227	True	111	non-canonical
61	28101	True	1734	non-canonical
65	26912	False	1516	non-canonical
63	27264	False	3361	non-canonical
61	29224	False	1	non-canonical
64	702	True	1	non-canonical
71	28110	True	71	non-canonical
64	29002	True	140	non-canonical
65	26108	False	1167	non-canonical
65	25672	True	118	non-canonical
62	28098	False	31	non-canonical
61	29224	True	30	non-canonical
62	27262	False	282	non-canonical
70	27039	True	12	non-canonical
59	26341	True	81	non-canonical
61	21481	False	1992	non-canonical
70	27202	True	40	non-canonical
71	28113	True	63	non-canonical
60	28884	False	7	non-canonical
65	25672	False	4	non-canonical
70	11535	True	2	non-canonical
62	27263	True	572	non-canonical
65	28087	True	1	non-canonical
65	28087	False	1	non-canonical
57	28096	True	5	non-canonical
60	28100	True	130	non-canonical
70	28111	True	212	non-canonical
65	29014	True	19	non-canonical
53	26337	False	2	non-canonical
58	27258	True	8	non-canonical
60	26369	True	222	non-canonical
28119	29311	True	1	non-canonical
69	28111	True	5	non-canonical
62	21862	True	4	non-canonical
64	28960	False	9	non-canonical
60	28102	True	9	non-canonical
63	28081	True	50	non-canonical
64	14676	True	2	non-canonical
63	25258	True	12	non-canonical
59	27260	True	7	non-canonical
64	28609	True	6	non-canonical
63	25666	True	11	non-canonical
65	22036	True	34	non-canonical
65	29447	True	92	non-canonical
66	27221	True	2	non-canonical
59	21479	True	130	non-canonical
26130	26155	True	1360	non-canonical
62	14539	True	1	non-canonical
64	27775	True	17	non-canonical
61	27262	True	27	non-canonical
65	19500	True	15	non-canonical
64	28103	True	67	non-canonical
72	8835	True	1	non-canonical
63	27781	True	4	non-canonical
70	27272	True	13	non-canonical
64	26915	True	150	non-canonical
79	21703	True	1	non-canonical
28123	29141	True	11	non-canonical
28122	28258	True	1	non-canonical
63	26346	True	9	non-canonical
57	28097	True	43	non-canonical
67	21236	True	1	non-canonical
63	26737	True	82	non-canonical
69	25917	True	2	non-canonical
72	26356	True	12	non-canonical
65	26012	True	1	non-canonical
64	24191	True	1	non-canonical
28121	28824	True	29	non-canonical
73	26355	True	11	non-canonical
53	21469	True	4	non-canonical
21482	27264	True	2	non-canonical
57	26339	True	18	non-canonical
65	10699	True	5	non-canonical
61	27362	True	171	non-canonical
63	26106	True	10	non-canonical
72	28112	True	55	non-canonical
66	20901	True	1	non-canonical
65	28083	True	59	non-canonical
21502	26362	True	1	non-canonical
70	27355	True	68	non-canonical
28132	28183	True	8	non-canonical
28122	29112	True	7	non-canonical
27295	28886	True	11	non-canonical
72	27271	True	1	non-canonical
63	28104	False	13	non-canonical
65	21865	False	7	non-canonical
60	28101	True	5	non-canonical
72	27273	True	11	non-canonical
79	26122	True	10	non-canonical
64	28108	True	15	non-canonical
71	28813	True	4	non-canonical
66	26706	True	2	non-canonical
26361	27710	True	4	non-canonical
62	28103	True	2	non-canonical
64	26378	True	3	non-canonical
65	21865	True	70	non-canonical
65	27236	True	78	non-canonical
64	27235	True	1	non-canonical
28125	28555	True	10	non-canonical
65	27749	True	49	non-canonical
65	703	True	2	non-canonical
68	27204	True	3	non-canonical
57	26365	True	1	non-canonical
64	22169	True	3	non-canonical
60	26511	True	23	non-canonical
28120	28533	True	2	non-canonical
65	17913	True	11	non-canonical
71	19564	True	6	non-canonical
61	27362	False	40	non-canonical
65	26012	False	1	non-canonical
28122	29116	False	7	non-canonical
70	29020	True	1	non-canonical
70	21264	False	1	non-canonical
28125	28555	False	4	non-canonical
71	28110	False	14	non-canonical
28121	28824	False	6	non-canonical
64	26161	True	18	non-canonical
65	23802	True	6	non-canonical
64	9435	True	2	non-canonical
65	15707	True	26	non-canonical
67	27751	True	5	non-canonical
26361	29315	True	1	non-canonical
65	28887	True	1	non-canonical
65	22690	True	7	non-canonical
64	24330	True	12	non-canonical
61	15623	True	1	non-canonical
59	22566	True	1	non-canonical
59	27766	True	17	non-canonical
66	5870	True	3	non-canonical
54	28095	True	1	non-canonical
66	28851	True	38	non-canonical
26367	27144	True	39	non-canonical
28127	28557	True	18	non-canonical
28122	29116	True	24	non-canonical
59	25252	True	2	non-canonical
26367	26988	True	6	non-canonical
70	12336	True	1	non-canonical
69	29452	True	4	non-canonical
67	28959	True	1	non-canonical
65	23582	True	14	non-canonical
64	26915	False	19	non-canonical
64	22169	False	1	non-canonical
26363	27254	True	4	non-canonical
72	26355	True	5	non-canonical
70	26353	True	3	non-canonical
26362	26411	True	1	non-canonical
64	25675	True	4	non-canonical
62	29424	True	5	non-canonical
56	28284	True	1	non-canonical
64	28099	True	2	non-canonical
28118	29108	True	45	non-canonical
71	21387	True	5	non-canonical
65	27161	True	1	non-canonical
64	27853	True	9	non-canonical
67	26377	True	65	non-canonical
71	24513	True	9	non-canonical
71	27706	True	1	non-canonical
64	26911	True	8	non-canonical
63	28081	False	2	non-canonical
57	29328	False	2	non-canonical
63	26304	True	4	non-canonical
70	27017	True	1	non-canonical
61	27260	True	1	non-canonical
28122	29008	True	2	non-canonical
55	28096	True	4	non-canonical
74	26117	True	4	non-canonical
68	22559	True	1	non-canonical
62	27195	True	12	non-canonical
78	28818	True	3	non-canonical
63	24197	True	1	non-canonical
70	29351	True	2	non-canonical
26369	27661	True	4	non-canonical
21499	27707	True	5	non-canonical
70	26918	True	1	non-canonical
54	27762	True	1	non-canonical
67	29104	True	18	non-canonical
67	24757	True	13	non-canonical
62	25256	True	11	non-canonical
28132	28542	True	2	non-canonical
67	29231	True	5	non-canonical
65	29447	False	7	non-canonical
57	28097	False	2	non-canonical
68	22559	False	1	non-canonical
28132	28183	False	7	non-canonical
70	27355	False	14	non-canonical
66	17416	True	10	non-canonical
28130	28982	True	1	non-canonical
66	28141	True	5	non-canonical
65	29200	True	9	non-canonical
78	25591	True	7	non-canonical
59	25253	True	18	non-canonical
72	27898	True	1	non-canonical
64	26350	False	23	non-canonical
65	15707	False	5	non-canonical
70	26918	False	1	non-canonical
21506	25523	True	1	non-canonical
68	26384	True	3	non-canonical
65	29194	True	10	non-canonical
59	27360	True	3	non-canonical
27371	28111	True	2	non-canonical
