5prime	3prime	strand	count	sgRNA_ref
61	27883	True	8743	8
61	28249	True	12286	N
61	27378	True	969	7a
61	26464	True	303	M
67	28261	True	53988	N
66	28260	True	249	N
61	28261	True	17328	N
68	28262	True	62	N
66	27754	True	941	7b
69	27757	True	3	non-canonical
61	27037	True	561	6
55	27876	True	2588	8
55	28249	True	14508	N
61	22496	True	12	non-canonical
60	28260	True	82	N
55	21549	True	26	S
54	28248	True	96	N
62	25378	True	100	3a
61	3994	True	19	non-canonical
4005	28273	True	21	N
66	22495	True	19	non-canonical
59	28247	True	66	N
61	26234	True	50	E
56	28250	True	14	N
64	21552	True	19	S
55	8147	True	1	non-canonical
8158	28261	True	3	N
64	27752	True	9	7b
55	26029	True	3	non-canonical
26040	28261	True	4	N
54	27875	True	13	8
59	27881	True	40	8
62	27884	True	11	8
62	28262	True	29	N
60	27377	True	6	7a
59	27880	True	1	8
63	28251	True	10	N
65	28259	True	4	N
64	28258	True	3	N
57	25373	True	1	3a
67	21052	True	2	non-canonical
63	26466	True	1	M
62	2558	True	1	non-canonical
2569	28268	True	7	N
53	28247	True	1	N
64	8292	True	1	non-canonical
8304	28271	True	1	N
59	28259	True	1	N
67	28261	False	1	N
273	28367	True	6	non-canonical
2271	28575	True	1	non-canonical
2575	29090	True	1	non-canonical
9305	28249	True	2	N
10846	28261	True	1	N
14176	29572	True	6	non-canonical
14469	28255	True	2	N
18354	28498	True	11	non-canonical
28519	28571	True	51751	non-canonical
18665	28261	True	3	N
19476	28681	True	1	non-canonical
20085	27990	True	5	non-canonical
21432	29093	True	1	non-canonical
21733	21777	True	10	non-canonical
21733	21777	False	4	non-canonical
22375	28265	True	16	N
22640	28059	True	4	non-canonical
23547	23577	True	3	non-canonical
23547	23577	False	2	non-canonical
24937	28985	True	1	non-canonical
25739	28249	True	1	N
25953	28364	True	1	non-canonical
26478	27894	True	4	non-canonical
26567	26597	False	2	non-canonical
26774	26811	True	74	non-canonical
26774	26811	False	82	non-canonical
26780	26817	True	57	non-canonical
26780	26817	False	47	non-canonical
26773	26810	True	2	non-canonical
27260	27286	True	148	non-canonical
27260	27286	False	162	non-canonical
27259	27285	False	1	non-canonical
27261	27287	False	1	non-canonical
27259	27285	True	1	non-canonical
28518	28570	True	269	non-canonical
28519	28571	False	51720	non-canonical
28518	28570	False	271	non-canonical
28515	28567	True	1	non-canonical
28524	28576	True	62	non-canonical
28524	28576	False	52	non-canonical
28517	28569	True	7	non-canonical
28517	28569	False	1	non-canonical
28661	29089	True	1	non-canonical
29059	29087	False	121	non-canonical
29061	29089	True	19210	non-canonical
29059	29087	True	102	non-canonical
29061	29089	False	19281	non-canonical
29064	29092	True	31	non-canonical
29064	29092	False	30	non-canonical
29705	29791	True	26	non-canonical
29705	29791	False	6725	non-canonical
29704	29790	False	36	non-canonical
29707	29793	False	8	non-canonical
